dest_country,n_shipments,value_usd,n_exporters,금액(%)
China,255392,129491815429.99098,2330,11.86
Mexico,20754,73658692762.0,906,6.75
Japan,161458,64079558329.0047,1923,5.87
(결측),203925,59970816997.98647,3364,5.49
Netherlands,74641,52505020957.0,1221,4.81
Taiwan,91486,49592364855.002,1625,4.54
South Korea,136007,43924739519.00968,1767,4.02
Brazil,84866,36606342938.004,1099,3.35
Germany,74560,36436546301.99814,1351,3.34
United Kingdom,57291,36122058633.0,1345,3.31
India,111255,35038141787.001,1444,3.21
Belgium,120804,34065664852.99524,1754,3.12
Canada,21709,29876496275.0,838,2.74
Panama,86483,27069326804.014,2155,2.48
Singapore,51932,23564706977.004,1468,2.16
France,32980,21729685116.0,1031,1.99
Colombia,76707,20113921344.002,1759,1.84
Australia,51319,18406486823.0,1073,1.69
Peru,18888,18255156839.99824,740,1.67
Chile,24908,12543872799.0,896,1.15
