ym,n_ship,n_exposed,n_assessable,value_usd,exposed_share_n,assessable_share_n
202401,1086767,16381,228772,160405600410.0,1.507,21.051
202402,1044726,14797,211267,146920271223.0,1.416,20.222
202403,1109671,15811,228301,156624563228.0,1.425,20.574
202404,1260427,16360,225663,152664970393.0,1.298,17.904
202405,1357831,15932,233165,160227514388.0,1.173,17.172
202406,1378348,15488,233541,158264631284.0,1.124,16.944
202407,1569892,17714,256437,168888487041.0,1.128,16.335
202408,1555411,17177,251368,156261751523.0,1.104,16.161
202409,1758596,16583,248810,161459195515.0,0.943,14.148
202410,2061194,15698,240725,155979341709.0,0.762,11.679
202411,1945679,15553,241330,160823189091.0,0.799,12.403
202412,2006234,16229,235840,172211316402.0,0.809,11.755
