ym,value,n_pairs,n_hs,hs_per_pair,value_per_hs,dlog_value,dlog_n_pairs,dlog_hs_per_pair,dlog_value_per_hs,residual
202401,53726328806.0,71157,93657,1.3162022007673173,573649.9012994224,,,,,
202402,49944086722.0,66795,87834,1.3149786660678195,568619.0623448779,-0.07299906155605385,-0.06326047595114481,-0.0009300271244073177,-0.008808558480504658,2.942091015256665e-15
202403,56945258659.0,67621,89549,1.3242779609884503,635911.7204993914,0.13118631783338586,0.012290358252721845,0.007046933828479096,0.11184902575218736,-2.4424906541753444e-15
202404,51293499257.0,68623,90519,1.3190766944027512,566660.0300157978,-0.10452640796547641,0.01470916981251058,-0.003935357889093882,-0.11530021988889416,1.0547118733938987e-15
202405,53192182174.0,72629,96564,1.3295515565407756,550848.993144443,0.03634740992201202,0.0567365356010292,0.007909691929020468,-0.028298817608035876,-1.7763568394002505e-15
202406,54376500274.0,73891,99230,1.3429240367568445,547984.4832611105,0.022020646341584182,0.017226743232013675,0.01000764374213925,-0.0052137406325716285,2.886579864025407e-15
202407,57811966931.0,75799,102212,1.3484610614915764,565608.4112530819,0.06126371430296729,0.025494065609114713,0.004114634171268394,0.03165501452258468,-4.996003610813204e-16
202408,53360251982.0,74028,99424,1.3430593829361863,536693.8765489218,-0.08012967067959309,-0.023641699933662608,-0.004013854562232744,-0.05247411618369746,-2.7755575615628914e-16
202409,54925823187.0,72334,97719,1.350941465977272,562079.2597857121,0.028917481734623607,-0.02314911859576263,0.0058515984026158985,0.04621500192777006,2.7755575615628914e-16
202410,51723175013.0,70190,94660,1.348625160279242,546410.0466194802,-0.0600776651169852,-0.030088430677409406,-0.0017160578619790923,-0.02827317657759565,-1.0547118733938987e-15
202411,56356491900.0,69718,93121,1.3356808858544422,605196.3778309941,0.08579150007835779,-0.006747316675230763,-0.009644485045789353,0.10218330179937851,-6.106226635438361e-16
202412,69104653609.0,69518,92892,1.3362294657498777,743924.7040541704,0.20392463391820925,-0.002872822223444871,0.0004106274769393181,0.20638682866471214,2.6645352591003757e-15
