ym,n_pairs,n_importers,n_exporters,n_shipments,value_usd,teu,v_within,v_arms,n_within,n_arms,teu_within,teu_arms,within_share_value,within_share_count,within_share_teu
202401,71157,28276,42998,253504,53726328806.0,636294.71,17266362637.0,36459966169.0,40017,213487,143645.21,492649.5,32.14,15.79,22.58
202402,66795,26938,41283,234326,49944086722.0,578652.73,16650775750.0,33293310972.0,37897,196429,133067.55,445585.18,33.34,16.17,23.0
202403,67621,27249,41893,258848,56945258659.0,635704.24,18383544345.0,38561676514.0,43752,215095,150115.72,485586.52,32.28,16.9,23.61
202404,68623,27458,42296,277989,51293499257.0,636802.99,17322951612.0,33970388645.0,42401,235587,147555.58,489245.41,33.77,15.25,23.17
202405,72629,29201,43602,324864,53192182174.0,642291.96,19022739464.0,34169392210.0,42956,281907,145695.73,496594.23,35.76,13.22,22.68
202406,73891,29708,43822,265520,54376500274.0,639516.11,18181845824.0,36194590350.0,41865,223654,142344.96,497169.15,33.44,15.77,22.26
202407,75799,29832,44549,288391,57811966931.0,700009.92,19818963346.0,37993003585.0,45294,243097,148385.26,551624.66,34.28,15.71,21.2
202408,74028,28971,44075,281586,53360251982.0,672261.7,16856426582.0,36503825400.0,44150,237436,144451.45,527810.25,31.59,15.68,21.49
202409,72334,28444,42598,279809,54925823187.0,654544.51,14594301087.0,40331522100.0,41061,238748,133645.74,520898.77,26.57,14.67,20.42
202410,70190,27946,41770,271517,51723175013.0,635709.86,15372259275.0,36350915738.0,40393,231124,128226.56,507483.3,29.72,14.88,20.17
202411,69718,27552,42462,269748,56356491900.0,636231.33,16948685057.0,39407656343.0,42050,227696,135182.66,501044.67,30.07,15.59,21.25
202412,69518,27462,42109,264425,69104653609.0,626454.51,15581981883.0,53522671726.0,39565,224860,129112.38,497342.13,22.55,14.96,20.61
