basis,bin,n,value_usd,share(%),value_share(%)
원산국 수 · firm-분기 (con 매칭 선적 전체),0 (원산국 결측),93,81303294.0,0.03,0.01
원산국 수 · firm-분기 (con 매칭 선적 전체),1,160407,160160423627.0,59.61,12.9
원산국 수 · firm-분기 (con 매칭 선적 전체),2,49585,154848957140.0,18.43,12.47
원산국 수 · firm-분기 (con 매칭 선적 전체),3-5,42738,283969646326.0,15.88,22.88
원산국 수 · firm-분기 (con 매칭 선적 전체),6-10,12280,222978010119.0,4.56,17.96
원산국 수 · firm-분기 (con 매칭 선적 전체),11+,3993,419323873125.0,1.48,33.78
원산국 수 · firm-연 (panel_firm_origin_quarter),0 (원산국 결측),37,11718531.0,0.04,0.0
원산국 수 · firm-연 (panel_firm_origin_quarter),1,59345,86177651824.0,56.14,6.94
원산국 수 · firm-연 (panel_firm_origin_quarter),2,18861,110638171417.0,17.84,8.91
원산국 수 · firm-연 (panel_firm_origin_quarter),3-5,18421,252802232946.0,17.43,20.36
원산국 수 · firm-연 (panel_firm_origin_quarter),6-10,6422,237642945324.0,6.08,19.14
원산국 수 · firm-연 (panel_firm_origin_quarter),11+,2615,554089493589.0,2.47,44.64
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),0 (수출자 미매칭),99072,89916691168.0,36.82,7.24
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),1,95140,193165230724.0,35.36,15.56
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),2,29081,159385169464.0,10.81,12.84
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),3-5,27438,195450166400.0,10.2,15.74
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),6-10,10766,166383689983.0,4.0,13.4
파트너(수출자 법인) 수 · firm-분기 (양측 매칭),11+,7599,437061265892.0,2.82,35.21
