dest,n_shipments,value_usd,n_exporters,value_share(%),exporter_share(%)
China,158555,61645502058.993004,2330,9.58,18.09
Mexico,12129,57116260420.0,906,8.87,7.03
Japan,103618,42441596562.997696,1923,6.59,14.93
(결측),125024,38879716937.9838,3364,6.04,26.12
Taiwan,61633,37875109055.002,1625,5.88,12.62
Netherlands,41894,33096122331.004,1221,5.14,9.48
United Kingdom,32357,24260840510.0,1345,3.77,10.44
India,65781,24242316689.0,1444,3.77,11.21
South Korea,78965,24233243751.00268,1767,3.76,13.72
Germany,43568,24171933727.0,1351,3.76,10.49
Belgium,65158,20909769380.99585,1754,3.25,13.62
Brazil,49099,18177426780.004,1099,2.82,8.53
France,19366,16361862619.0,1031,2.54,8.0
Canada,11651,13670040902.0,838,2.12,6.51
Colombia,50115,12539635378.002,1759,1.95,13.66
