ym,dest_source,n,share
2024-01,missing,35857,0.16457752911099585
2024-01,port_unlading,47258,0.2169061792879338
2024-01,reported,134758,0.6185162916010704
2024-02,missing,37589,0.15801465426280986
2024-02,port_unlading,54740,0.23011312283769753
2024-02,reported,145554,0.6118722228994926
2024-03,missing,39497,0.14718903488831417
2024-03,port_unlading,91689,0.34168710078929126
2024-03,reported,137156,0.5111238643223945
2024-04,missing,12978,0.049437739989029075
2024-04,port_unlading,128202,0.48836624611446333
2024-04,reported,121332,0.4621960138965076
2024-05,missing,6606,0.02461242692836465
2024-05,port_unlading,136744,0.5094764922634416
2024-05,reported,125051,0.4659110808081937
2024-06,missing,19926,0.07460993226469564
2024-06,port_unlading,157158,0.5884546690181189
2024-06,reported,89985,0.3369353987171854
