ever_within,n_active_months,n_pairs,value_usd,left_censored,right_censored,share_pairs
0,1,79150,23277946013.0,0.18477574226152874,0.2033101705622236,0.4758841283774846
0,2,30035,17063279939.0,0.343732312302314,0.36224404860995507,0.18058344656750158
0,3,17645,16801399220.0,0.49192405780674414,0.5120997449702466,0.10608939286444367
0,4,12996,25670485573.0,0.6476608187134503,0.6555093875038474,0.07813758853308642
0,5,10931,21147970539.0,0.8047754093861494,0.8262738999176653,0.0657219129159101
0,6,15565,109734053367.0,1.0,1.0,0.09358353074157358
1,1,2552,3233167688.0,0.2080721003134796,0.18730407523510972,0.3072107860840255
1,2,1084,3066850856.0,0.35885608856088563,0.35239852398523985,0.13049235584446853
1,3,779,2729458993.0,0.4582798459563543,0.4993581514762516,0.09377633321295294
1,4,719,3824751135.0,0.6050069541029207,0.6091794158553546,0.08655350908872035
1,5,774,6768130108.0,0.772609819121447,0.7764857881136951,0.09317443120260022
1,6,2399,85989786265.0,1.0,1.0,0.28879258456723245
